CODI_INE,NOMBRE_HABITANTS,NOMBRE_DONES,NOMBRE_HOMES,DONES_00_16,HOMES_00_16,DONES_17_29,HOMES_17_29,DONES_30_49,HOMES_30_49,DONES_50_69,HOMES_50_69,DONES_70,HOMES_70,NOMBRE_VEHICLES,LAT,LNG,WKT
"5-17-01","545","240","305","59","63","35","41","69","125","43","55","34","21","100","41,539371688063","2,42346907710593","POINT (2.42346907710593 41.539371688063)"
"6-5-07","167","80","87","11","9","12","17","14","19","29","34","14","8","81","41,539683326757","2,43357648338906","POINT (2.43357648338906 41.539683326757)"
"2-1-04","410","214","196","39","46","34","29","59","58","58","46","24","17","166","41,5394561077527","2,45141736718915","POINT (2.45141736718915 41.5394561077527)"
"6-8-07","273","143","130","18","22","15","12","39","36","47","45","24","15","140","41,539719619653","2,43132043021706","POINT (2.43132043021706 41.539719619653)"
"1-7-01","137","74","63","21","22","9","4","25","18","7","14","12","5","50","41,5393205523327","2,44111661486047","POINT (2.44111661486047 41.5393205523327)"
"5-19-01","341","165","176","25","34","27","26","53","69","36","34","24","13","79","41,5394899242774","2,42498633928827","POINT (2.42498633928827 41.5394899242774)"
"1-7-06","134","74","60","7","15","12","3","21","14","20","19","14","9","76","41,5395623395585","2,43878042650991","POINT (2.43878042650991 41.5395623395585)"
"1-3-03","181","94","87","14","18","14","15","36","38","18","11","12","5","65","41,5396480250198","2,4458287428377","POINT (2.4458287428377 41.5396480250198)"
"5-19-04","22","10","12","1","5","1","1","4","3","2","1","2","2","10","41,5399312940067","2,42437058385761","POINT (2.42437058385761 41.5399312940067)"
"2-10-02","50","24","26","5","7","4","2","9","13","5","3","1","1","10","41,5399842173974","2,44701144069601","POINT (2.44701144069601 41.5399842173974)"
"5-10-10","50","17","33","2","5","1","1","6","11","7","14","1","2","7","41,5388978765823","2,42846743470193","POINT (2.42846743470193 41.5388978765823)"
"2-10-08","103","54","49","14","10","6","7","15","11","9","11","10","10","53","41,5397175610543","2,4495695957566","POINT (2.4495695957566 41.5397175610543)"
"5-7-04","166","80","86","17","21","13","11","32","38","12","14","6","2","55","41,5398233943454","2,4218206708217","POINT (2.4218206708217 41.5398233943454)"
"2-10-05","83","43","40","4","7","8","4","19","16","8","8","4","5","43","41,5402391907997","2,44744892813149","POINT (2.44744892813149 41.5402391907997)"
"1-7-02","99","58","41","6","8","8","4","16","13","19","12","9","4","42","41,5402559284425","2,44010501363953","POINT (2.44010501363953 41.5402559284425)"
"2-10-01","33","17","16","4","3","2","1","4","8","4","3","3","1","16","41,5404644146126","2,44674047863302","POINT (2.44674047863302 41.5404644146126)"
"2-1-08","193","97","96","21","26","9","8","33","32","25","21","9","9","74","41,5401521569954","2,45258395428887","POINT (2.45258395428887 41.5401521569954)"
"2-10-06","139","72","67","13","19","7","8","36","20","6","12","10","8","49","41,5402063301825","2,44811521372743","POINT (2.44811521372743 41.5402063301825)"
"5-20-05","88","43","45","7","4","5","12","11","15","8","10","12","4","22","41,5405079994671","2,42575976442086","POINT (2.42575976442086 41.5405079994671)"
"2-11-12","53","26","27","3","7","2","2","7","7","8","6","6","5","20","41,540859424174","2,45182870254949","POINT (2.45182870254949 41.540859424174)"
"2-10-10","230","108","122","21","31","11","12","44","54","18","16","14","9","83","41,540761860825","2,4499775230369","POINT (2.4499775230369 41.540761860825)"
"5-16-06","135","57","78","11","14","10","14","15","25","10","20","11","5","47","41,5408376198113","2,42378470391862","POINT (2.42378470391862 41.5408376198113)"
"5-1-07","103","59","44","7","3","6","5","6","8","14","12","26","16","51","41,5409039974398","2,4322568393071","POINT (2.4322568393071 41.5409039974398)"
"5-15-04","68","36","32","10","9","4","4","10","11","9","6","3","2","20","41,5408834109882","2,42559312410514","POINT (2.42559312410514 41.5408834109882)"
"1-6-01","59","32","27","3","4","5","4","9","8","6","7","9","4","25","41,540989597855","2,44044317726773","POINT (2.44044317726773 41.540989597855)"
"2-2-04","430","250","180","34","23","29","20","66","61","56","49","65","27","171","41,5409336687419","2,45531704362278","POINT (2.45531704362278 41.5409336687419)"
"5-16-08","101","49","52","7","11","6","5","19","23","11","9","6","4","40","41,5411016923102","2,42319703823906","POINT (2.42319703823906 41.5411016923102)"
"5-16-02","51","24","27","4","1","0","6","7","14","8","5","5","1","24","41,5411618498626","2,42504937493781","POINT (2.42504937493781 41.5411618498626)"
"5-1-04","248","125","123","34","28","14","14","44","49","21","23","12","9","83","41,5411117703537","2,42904633710795","POINT (2.42904633710795 41.5411117703537)"
